City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,ixtapa,20.7,-105.2,31.24,79,75,5.14,MX,1694561765
156,westport,41.1415,-73.3579,24.86,80,0,2.06,US,1694561765
157,masterton,-40.9597,175.6575,13.82,50,11,0.57,NZ,1694561766
158,port-vila,-17.7338,168.3219,24.78,78,100,6.17,VU,1694561766
159,qaqortoq,60.7167,-46.0333,4.03,74,21,2.41,GL,1694561767
160,northam,51.0333,-4.2167,17.94,90,90,4.18,GB,1694561767
161,mount gambier,-37.8333,140.7667,19.02,51,99,2.7,AU,1694561768
162,markovo,57.3206,107.0881,8.67,73,100,1.41,RU,1694561769
163,la passe,45.5549,-0.8967,19.43,83,99,4.06,FR,1694561769
164,atasu,48.6814,71.6433,9.47,87,100,4.75,KZ,1694561770
165,kiruna,67.8557,20.2251,4.51,93,75,1.54,SE,1694561770
166,alice springs,-23.7,133.8833,15.75,21,2,0.0,AU,1694561771
167,luderitz,-26.6481,15.1594,16.23,43,0,3.34,NA,1694561771
168,tortoreto lido,42.8038,13.9429,23.95,76,8,2.38,IT,1694561771
169,kolonia town,6.964,158.206,31.06,74,100,2.06,FM,1694561772
170,okakarara,-20.5833,17.4333,11.44,18,0,2.86,NA,1694561772
171,ad dabbah,18.05,30.95,30.76,42,98,9.38,SD,1694561773
172,port macquarie,-31.4333,152.9167,20.5,53,7,2.14,AU,1694561773
173,bikenibeu village,1.3673,173.1241,30.98,70,75,3.09,KI,1694561774
174,arteche,12.2645,125.4048,27.04,82,91,1.99,PH,1694561774
175,timra,62.487,17.3257,9.82,93,0,4.63,SE,1694561774
176,lexington,37.9887,-84.4777,22.62,76,90,2.22,US,1694561536
177,vadso,70.0744,29.7487,8.49,81,75,2.06,NO,1694561776
178,tahe,52.3333,124.7333,9.94,50,25,1.66,CN,1694561776
179,auki,-8.7676,160.7034,28.28,72,100,2.8,SB,1694561777
180,keflavik,64.0049,-22.5624,9.24,71,75,5.14,IS,1694561777
181,senador guiomard,-10.1522,-67.7392,27.86,54,70,1.2,BR,1694561777
182,oranjemund,-28.55,16.4333,14.93,43,0,1.29,NA,1694561778
183,ribas do rio pardo,-20.4431,-53.7592,28.28,35,78,0.28,BR,1694561778
184,villa gesell,-37.2639,-56.973,8.92,66,99,4.26,AR,1694561779
185,villazon,-22.0866,-65.5942,11.38,5,0,7.71,BO,1694561779
186,vershino-darasunskiy,52.35,115.5167,5.59,56,66,1.61,RU,1694561780
187,juneau,58.3019,-134.4197,13.0,95,100,1.54,US,1694561780
188,slavonski brod,45.1603,18.0156,20.21,59,61,1.73,HR,1694561781
189,touba,8.2833,-7.6833,21.78,97,51,1.37,CI,1694561781
190,cartagena del chaira,1.3349,-74.8429,26.59,69,55,0.18,CO,1694561781
191,pacora,9.0833,-79.2833,27.99,94,75,2.06,PA,1694561782
192,louga,58.7372,29.8453,13.97,76,58,2.73,RU,1694561782
193,kerikeri,-35.2268,173.9474,18.28,70,10,2.24,NZ,1694561783
194,gurupi,-11.7292,-49.0686,31.08,27,6,2.54,BR,1694561783
195,comodoro rivadavia,-45.8667,-67.5,7.92,29,0,3.09,AR,1694561784
196,alexandria,31.2156,29.9553,25.3,72,0,6.18,EG,1694561637
197,atar,20.5169,-13.0499,33.96,28,56,3.37,MR,1694561713
198,libreville,0.3925,9.4537,25.01,88,75,3.6,GA,1694561785
199,ruteng,-8.6136,120.4721,20.23,61,12,0.6,ID,1694561786
200,safety harbor,27.9909,-82.6932,32.02,69,0,3.09,US,1694561786
201,tanakpur,29.0833,80.1167,25.69,80,66,1.74,IN,1694561787
202,tolanaro,-25.0319,46.9987,20.04,88,40,3.09,MG,1694561787
203,kavaratti,10.5669,72.642,27.08,82,100,5.58,IN,1694561788
204,kushiro,42.975,144.3747,22.53,100,75,0.0,JP,1694561788
205,korla,41.7597,86.1469,22.99,31,60,4.96,CN,1694561788
206,buka,40.8108,69.1986,14.3,41,0,0.31,UZ,1694561789
207,tabou,4.423,-7.3528,23.97,94,53,1.96,CI,1694561789
208,alofi,-19.0595,-169.9187,25.94,73,75,7.2,NU,1694561790
209,kone,-21.0595,164.8658,24.44,55,24,2.32,NC,1694561791
210,port lincoln,-34.7333,135.8667,20.63,37,55,5.28,AU,1694561792
211,st. john's,47.5649,-52.7093,14.98,92,75,6.69,CA,1694561640
212,rio gallegos,-51.6226,-69.2181,6.03,61,0,3.09,AR,1694561793
213,tazovsky,67.4667,78.7,5.35,81,97,4.77,RU,1694561793
214,uturoa,-16.7333,-151.4333,24.71,80,93,9.03,PF,1694561794
215,pandan,14.0453,124.1694,27.77,81,52,1.79,PH,1694561794
216,sitka,57.0531,-135.33,12.94,88,100,3.6,US,1694561597
217,unai,-16.3575,-46.9061,27.44,29,20,1.48,BR,1694561624
218,callaway,30.153,-85.5699,26.65,82,0,3.6,US,1694561796
219,san pedro pochutla,15.7333,-96.4667,31.84,76,53,1.69,MX,1694561796
220,cataingan,12.003,123.992,28.19,76,78,2.06,PH,1694561797
221,lakatoro,-16.0999,167.4164,25.88,73,90,5.07,VU,1694561797
222,konarka,19.9,86.1167,26.22,91,100,2.43,IN,1694561798
223,malvan,16.0667,73.4667,27.31,78,98,4.37,IN,1694561798
224,punta arenas,-53.15,-70.9167,6.06,65,100,2.57,CL,1694561605
225,minot air force base,48.4209,-101.3391,21.1,55,0,6.17,US,1694561705
226,kingscliff,-28.2667,153.5667,21.64,56,4,4.12,AU,1694561799
227,talcahuano,-36.7167,-73.1167,11.82,76,0,4.63,CL,1694561716
228,aroma,15.8167,36.1333,26.76,68,90,5.24,SD,1694561800
229,thinadhoo,0.5333,72.9333,28.07,78,100,5.2,MV,1694561800
230,broken hill,-31.95,141.4333,21.5,25,1,2.05,AU,1694561801
231,sabang,5.8933,95.3214,28.01,78,100,4.0,ID,1694561801
232,al bawiti,28.3492,28.8659,24.18,70,25,3.6,EG,1694561803
233,lib,8.3122,167.3766,29.03,77,88,6.8,MH,1694561803
234,gadzhiyevo,69.2551,33.3362,9.07,88,100,7.22,RU,1694561803
235,siocon,7.7061,122.1353,27.07,84,100,2.84,PH,1694561804
236,port elizabeth,-33.918,25.5701,14.16,67,0,6.69,ZA,1694561804
237,udachny,66.4167,112.4,6.36,93,100,9.47,RU,1694561805
238,port mathurin,-19.6833,63.4167,22.8,66,99,7.32,MU,1694561805
239,emerald,-23.5333,148.1667,21.6,43,0,4.56,AU,1694561738
240,bamboo flat,11.7,92.7167,25.05,94,75,6.17,IN,1694561806
241,yangquan,37.8575,113.5633,18.05,78,1,0.81,CN,1694561807
242,hithadhoo,-0.6,73.0833,27.83,80,84,5.57,MV,1694561807
243,sinabang,2.4803,96.3801,26.35,84,97,2.13,ID,1694561808
244,hutchinson,38.0608,-97.9298,24.3,43,0,1.54,US,1694561514
245,vilsbiburg,48.45,12.35,20.18,72,94,2.89,DE,1694561809
246,yanbu,24.0891,38.0637,32.02,66,0,2.06,SA,1694561809
247,ust-nera,64.5667,143.2,4.93,54,2,2.47,RU,1694561810
248,oberstdorf,47.4,10.2833,18.02,92,99,0.45,DE,1694561810
249,macapa,0.0389,-51.0664,28.99,61,0,5.66,BR,1694561811
250,zhangjiakou shi xuanhua qu,40.6103,115.0447,17.27,60,7,1.15,CN,1694561812
251,pariaman,-0.619,100.12,24.03,86,34,2.56,ID,1694561812
252,kachug,53.9606,105.8817,6.69,68,94,0.37,RU,1694561813
253,portage,41.1667,-81.1998,18.91,84,75,0.0,US,1694561557
254,parabel',58.6978,81.4825,6.0,89,48,2.84,RU,1694561814
255,shingu,33.7333,135.9833,27.44,73,35,2.06,JP,1694561673
256,sandnessjoen,66.0217,12.6316,9.29,78,56,3.57,NO,1694561815
257,princeville,45.7668,-61.2985,20.42,96,100,1.03,CA,1694561815
258,batangafo,7.3008,18.2833,21.79,96,91,0.72,CF,1694561816
259,floro,61.5996,5.0328,8.98,87,40,3.09,NO,1694561816
260,queenstown,-31.8976,26.8753,3.49,86,24,1.08,ZA,1694561817
261,bourg-saint-maurice,45.6172,6.769,18.14,83,93,1.09,FR,1694561817
262,rajaori,33.3833,74.3,22.85,70,0,2.09,IN,1694561818
263,jayapura,-2.5333,140.7,27.66,72,72,2.14,ID,1694561818
264,selfoss,63.9331,-20.9971,5.02,87,100,1.93,IS,1694561819
265,holualoa,19.6228,-155.9522,27.91,77,40,5.14,US,1694561820
266,isla mujeres,21.2311,-86.731,31.03,82,10,4.15,MX,1694561820
267,margate,51.3813,1.3862,17.95,93,46,2.68,GB,1694561590
268,ola,59.5833,151.2833,7.86,96,100,2.56,RU,1694561821
269,malyn,50.7723,29.2383,13.9,48,0,3.09,UA,1694561821
270,nadym,65.5333,72.5167,9.77,59,99,3.44,RU,1694561822
271,banda aceh,5.5577,95.3222,26.68,83,100,2.73,ID,1694561823
272,pangody,65.85,74.4859,6.35,72,86,3.98,RU,1694561823
273,california,38.3004,-76.5074,27.7,79,0,2.57,US,1694561685
274,tomatlan,19.9333,-105.25,29.09,87,19,2.69,MX,1694561824
275,sidi bennour,32.6524,-8.4277,19.95,80,0,5.55,MA,1694561824
276,quzhou,28.9594,118.8686,24.49,94,98,0.08,CN,1694561533
277,puerto aysen,-45.4,-72.7,3.31,98,58,2.82,CL,1694561825
278,chauk,20.8833,94.8167,25.2,89,100,5.58,MM,1694561826
279,dromore,54.5167,-7.4667,6.54,93,23,0.6,GB,1694561826
280,babolsar,36.7025,52.6576,22.95,59,0,3.83,IR,1694561827
281,isla vista,34.4133,-119.861,28.88,61,0,2.57,US,1694561827
282,xilin hot,43.9667,116.0333,14.32,26,57,4.72,CN,1694561827
283,codrington,-38.2667,141.9667,17.34,59,100,2.91,AU,1694561828
284,katsuren-haebaru,26.3369,127.8719,29.01,88,47,4.25,JP,1694561829
285,sabha,27.0377,14.4283,23.16,30,0,4.56,LY,1694561829
286,topi,34.0704,72.6236,27.38,60,0,2.65,PK,1694561830
287,cradock,-32.1642,25.6192,5.44,50,32,0.47,ZA,1694561830
288,arkhangel'sk,64.5401,40.5433,12.37,82,35,4.24,RU,1694561831
289,kamaishi,39.2667,141.8833,28.41,74,84,1.16,JP,1694561831
290,arak,34.0917,49.6892,20.09,24,0,2.54,IR,1694561832
291,afaahiti,-17.75,-149.2833,25.93,80,68,11.26,PF,1694561832
292,battagram,34.6772,73.0233,21.85,70,0,2.54,PK,1694561832
293,plastun,44.7561,136.2939,17.21,56,78,2.58,RU,1694561833
294,big bend,-26.8167,31.9333,16.05,63,100,2.06,SZ,1694561833
295,kununurra,-15.7667,128.7333,24.99,27,86,1.54,AU,1694561834
296,saruhanli,38.7346,27.5681,16.28,69,0,1.23,TR,1694561834
297,khorixas,-20.3667,14.9667,20.15,18,0,3.2,NA,1694561835
298,kirakira,-10.4544,161.9205,28.37,74,96,5.07,SB,1694561835
299,ghadamis,30.1337,9.5007,27.73,21,0,3.65,LY,1694561835
300,hilo,19.7297,-155.09,33.49,72,20,3.6,US,1694561836
301,fale old settlement,-9.3852,-171.2468,28.51,74,25,5.48,TK,1694561836
302,robertsport,6.7533,-11.3686,25.29,88,37,3.21,LR,1694561837
303,arys,42.4252,68.795,14.82,44,2,2.84,KZ,1694561837
304,skiathos,39.1623,23.4909,22.21,62,0,0.98,GR,1694561666
305,campo formoso,-10.5075,-40.3214,20.88,83,2,6.07,BR,1694561838
306,sanming,26.2486,117.6186,26.13,84,86,0.35,CN,1694561838
307,manadhoo,5.7667,73.3833,27.87,76,100,4.42,MV,1694561839
308,roswell,34.0232,-84.3616,26.51,87,0,1.54,US,1694561839
309,agdam,39.991,46.9274,15.56,92,100,0.85,AZ,1694561840
310,papao,-17.75,-149.55,26.82,79,65,11.51,PF,1694561841
311,kota bharu,6.1333,102.2386,24.99,94,40,2.68,MY,1694561825
312,portland,45.5234,-122.6762,27.54,48,75,3.6,US,1694561519
313,sinop,41.7711,34.8709,10.69,77,0,1.7,TR,1694561842
314,praia da vitoria,38.7333,-27.0667,23.2,88,20,4.26,PT,1694561842
315,paracin,43.8608,21.4078,18.96,43,5,1.75,RS,1694561843
316,kapa'a,22.0752,-159.319,29.18,66,20,6.17,US,1694561845
317,anisoc,1.8658,10.7689,21.38,100,99,0.77,GQ,1694561845
318,bontang,0.1333,117.5,24.83,82,99,2.12,ID,1694561845
319,madagali,10.8902,13.6312,24.61,69,38,0.83,NG,1694561846
320,saint-philippe,-21.3585,55.7679,22.77,88,96,2.43,RE,1694561846
321,zaozersk,69.4005,32.4476,8.22,91,100,5.34,RU,1694561847
322,ati,13.2154,18.3353,26.04,76,97,2.98,TD,1694561847
323,new kingman-butler,35.265,-114.0323,32.68,25,20,3.09,US,1694561848
324,san antonio de pale,-1.4014,5.6325,23.65,82,100,6.0,GQ,1694561848
325,klamath falls,42.2249,-121.7817,25.48,38,0,4.12,US,1694561618
326,dudinka,69.4058,86.1778,3.68,82,94,4.43,RU,1694561849
327,hamilton,39.1834,-84.5333,22.25,87,40,1.54,US,1694561430
328,lompoc,34.6391,-120.4579,25.01,69,2,3.58,US,1694561850
329,niafunke,15.9322,-3.9906,36.73,24,35,2.58,ML,1694561851
330,susuman,62.7833,148.1667,6.38,62,98,4.2,RU,1694561851
331,ormara,25.2088,64.6357,26.5,79,76,6.93,PK,1694561852
332,bairnsdale,-37.8333,147.6167,17.25,67,32,0.93,AU,1694561649
333,lagoa,39.05,-27.9833,21.96,88,100,7.29,PT,1694561853
334,palmer,42.1584,-72.3287,23.75,75,40,0.0,US,1694561853
335,igarka,67.4667,86.5833,3.5,80,71,2.83,RU,1694561854
336,xai-xai,-25.0519,33.6442,19.15,67,100,7.46,MZ,1694561855
337,guerrero negro,27.9769,-114.0611,23.27,80,0,6.46,MX,1694561855
338,minas de marcona,-15.2119,-75.1103,13.08,78,4,3.4,PE,1694561855
339,ilha de mocambique,-15.0342,40.7358,24.38,80,30,0.54,MZ,1694561856
340,nuku'alofa,-21.1333,-175.2,27.19,74,20,6.69,TO,1694561856
341,mo i rana,66.3128,14.1428,9.07,93,100,2.06,NO,1694561857
342,empalme,27.9667,-110.8167,40.19,49,20,6.69,MX,1694561828
343,pathein,16.7833,94.7333,24.48,97,100,2.41,MM,1694561858
344,mayya,61.7333,130.2811,2.62,69,100,1.88,RU,1694561858
345,presicce,39.8991,18.2617,22.92,88,43,2.57,IT,1694561858
346,tadine,-21.55,167.8833,22.37,66,61,7.66,NC,1694561859
347,gobabis,-22.45,18.9667,9.35,16,0,4.92,NA,1694561860
348,xingcheng,40.6167,120.7167,20.53,51,0,1.2,CN,1694561860
349,wuchang,44.9143,127.15,14.61,74,5,1.86,CN,1694561860
350,new norfolk,-42.7826,147.0587,14.28,52,100,1.86,AU,1694561861
351,ta`u,-14.2336,-169.5144,26.9,80,38,7.01,AS,1694561861
352,fortuna,40.5982,-124.1573,22.42,53,0,7.2,US,1694561862
353,nova sintra,14.8667,-24.7167,24.98,80,23,3.98,CV,1694561862
354,puerto baquerizo moreno,-0.9,-89.6,23.4,76,91,4.12,EC,1694561863
355,tindouf,27.6711,-8.1474,26.25,41,20,6.17,DZ,1694561863
356,verin,41.9415,-7.4381,17.53,85,29,1.66,ES,1694561864
357,antsiranana,-12.2787,49.2917,22.71,70,49,5.63,MG,1694561864
358,freetown,8.484,-13.2299,27.84,83,75,5.14,SL,1694561865
359,muroto-misakicho,33.2833,134.15,26.96,76,80,3.7,JP,1694561865
360,laojunmiao,39.8333,97.7333,17.13,23,25,2.19,CN,1694561865
361,taiyuan,37.8694,112.5603,14.92,88,4,1.0,CN,1694561866
362,luanda,-8.8368,13.2343,22.0,83,20,3.09,AO,1694561840
363,naliya,23.2667,68.8333,26.14,81,71,5.45,IN,1694561867
364,nelson bay,-32.7167,152.15,18.33,75,2,2.24,AU,1694561867
365,berdigestyakh,62.0989,126.6992,6.31,60,56,1.97,RU,1694561868
366,greymouth,-42.4667,171.2,11.36,63,87,7.59,NZ,1694561868
367,hammerfest,70.6634,23.6821,7.25,87,100,1.54,NO,1694561868
368,ferozepore,30.9167,74.6,27.25,69,0,2.82,IN,1694561638
369,mokhotlong,-29.2894,29.0675,-0.23,83,1,1.86,LS,1694561869
370,shuangjiang,26.1547,109.7138,18.79,98,100,1.81,CN,1694561870
371,crane,31.3974,-102.3501,23.46,62,99,6.87,US,1694561870
372,north battleford,52.7834,-108.2847,29.05,26,20,4.63,CA,1694561871
373,manistee,44.2445,-86.3242,15.59,83,75,2.06,US,1694561872
374,oum hadjer,13.2954,19.6966,25.69,71,100,4.96,TD,1694561592
375,uvalde,29.3669,-99.767,33.4,40,75,5.66,US,1694561872
376,cabo san lucas,22.8909,-109.9124,34.78,74,20,4.63,MX,1694561382
377,al kharijah,25.4514,30.5464,27.45,45,0,3.25,EG,1694561873
378,saint-pierre,-21.3393,55.4781,22.82,64,100,1.54,RE,1694561874
379,naama,33.2667,-0.3167,22.63,44,100,3.28,DZ,1694561874
380,shitanjing,39.2342,106.3439,19.05,43,23,2.72,CN,1694561875
381,walvis bay,-22.9575,14.5053,13.53,50,0,1.54,NA,1694561875
382,eldorado,-23.7869,-54.2836,24.12,52,29,2.64,BR,1694561876
383,daru,-9.0763,143.2092,27.67,63,100,5.78,PG,1694561876
384,nouadhibou,20.931,-17.0347,23.99,73,8,5.14,MR,1694561877
385,malpica,43.3228,-8.8105,19.1,80,20,3.84,ES,1694561877
386,pendleton,45.6721,-118.7886,28.74,29,0,5.66,US,1694561878
387,awsim,30.123,31.1357,27.44,71,0,3.92,EG,1694561878
388,armacao de buzios,-22.7469,-41.8817,23.03,86,0,10.05,BR,1694561634
389,fisterra,42.9049,-9.2629,18.9,90,2,7.89,ES,1694561879
390,newnham,-41.3833,147.1333,12.95,87,99,2.57,AU,1694561879
391,trairi,-3.2778,-39.2689,25.98,81,3,5.79,BR,1694561880
392,ar ruways,24.1103,52.7306,31.57,64,8,1.8,AE,1694561880
393,guaruja,-23.9931,-46.2564,23.0,75,0,0.1,BR,1694561722
394,tottori,35.5,134.2333,26.04,78,75,3.6,JP,1694561882
395,karratha,-20.7377,116.8463,25.74,45,63,2.4,AU,1694561882
396,saldanha,-33.0117,17.9442,6.03,71,6,7.01,ZA,1694561883
397,catriel,-37.8791,-67.7956,13.21,28,0,2.46,AR,1694561883
398,zouerate,22.7187,-12.4521,31.16,26,99,4.48,MR,1694561884
399,novyy urengoy,66.0833,76.6333,6.75,69,97,3.14,RU,1694561884
400,lebyazh'ye,55.2689,66.4947,8.05,85,45,3.51,RU,1694561884
401,bethanie,-26.4833,17.15,10.51,17,0,3.67,NA,1694561885
402,suzhou,31.3114,120.6181,22.62,93,100,2.77,CN,1694561886
403,singkil,-7.9855,111.4161,25.03,66,2,2.03,ID,1694561886
404,natal,-5.795,-35.2094,25.12,94,75,3.6,BR,1694561762
405,gizo,-8.103,156.8419,27.26,77,100,5.39,SB,1694561887
406,arno,60.1167,18.6333,15.44,95,99,3.39,SE,1694561888
407,ed damer,17.5928,33.9592,23.95,78,100,7.95,SD,1694561888
408,lively,46.4334,-81.1498,12.51,91,99,3.41,CA,1694561889
409,ilebo,-4.3167,20.5833,24.7,67,24,0.88,CD,1694561889
410,shevchenko,48.5,35.0,17.17,46,90,2.07,UA,1694561890
411,tharangambadi,11.0319,79.8528,25.49,85,100,4.68,IN,1694561890
412,nchelenge,-9.3451,28.734,24.16,65,69,0.8,ZM,1694561891
413,guarapari,-20.6667,-40.4975,22.16,88,0,4.85,BR,1694561789
414,dingwall,57.5953,-4.4272,8.84,92,66,0.38,GB,1694561891
415,vila franca do campo,37.7167,-25.4333,21.23,99,100,1.98,PT,1694561892
416,escarcega,18.6089,-90.7454,27.29,77,96,2.15,MX,1694561892
417,tshabong,-26.05,22.45,9.97,15,0,4.31,BW,1694561893
418,al muwayh,22.4333,41.7583,29.69,25,100,3.91,SA,1694561893
419,independencia,-5.3964,-40.3086,27.91,39,11,3.02,BR,1694561894
420,adre,13.4667,22.2,24.05,80,99,1.52,TD,1694561894
421,balkashino,52.5167,68.7667,8.0,94,99,4.79,KZ,1694561895
422,lagunas,-5.2269,-75.6753,28.51,58,47,1.66,PE,1694561895
423,flying fish cove,-10.4217,105.6791,23.82,88,75,5.14,CX,1694561896
424,shubarshi,48.5872,57.1869,12.79,77,64,1.48,KZ,1694561896
425,yamba,-5.9,22.3,26.06,55,68,1.25,CD,1694561896
426,urangan,-25.3,152.9,20.61,53,28,4.68,AU,1694561897
427,hotan,37.0997,79.9269,20.86,19,0,4.54,CN,1694561897
